account_id,customer_id,customer_name,product_type,delinquency_stage,days_past_due,overdue_amount,total_balance,risk_flag,current_status,email,mobile_phone,postcode,last_contact_channel,self_service_candidate,created_date
ACC-10001,CUST-50001,Naomi Clarke,credit_card,early,28,1747.22,14822.54,N,plan_requested,samuel11@example.net,42570632673,DD6H 8ZY,letter,Y,2025-12-02
ACC-10002,CUST-50002,Dr Cameron Osborne,personal_loan,late,71,772.39,11496.59,Y,Awaiting Follow Up,kathleenmann@example.net,25813515656,W3 3NH,email,N,2025-12-09
ACC-10003,CUST-50003,Heather Chapman,credit_card,early,26,448.04,14187.91,N,plan_requested,kathleenmorton@example.net,13900506764,CW15 2GJ,phone,Y,2025-11-26
ACC-10004,CUST-50004,Rachael Butler-Bryant,credit_card,mid,37,582.96,14010.54,N,email_sent,,45463827169,B5D 7FE,phone,Y,2025-10-06
ACC-10005,CUST-50005,William Bryant-Webb,credit_card,mid,45,1300.23,8733.0,N,legal_watch,gerald93@example.org,52289753626,L3 8ZB,email,Y,2025-11-04
ACC-10006,CUST-50006,Robin Morris,auto_finance,mid,35,362.91,1788.57,N,new_delinquency,saramason@example.com,81202044445,TF8Y 4WY,letter,Y,2025-12-16
ACC-10007,CUST-50007,Dr Reece Rose,personal_loan,early,5,597.43,14015.12,N,promise_due,reedshannon@example.net,61726202463,G0E 2BQ,sms,Y,2025-12-29
ACC-10008,CUST-50008,Dorothy Bell,credit_card,early,23,661.54,10639.95,N,manual_follow_up,longpaul@example.com,99176632489,BD0A 0LF,,Y,2025-10-06
ACC-10009,CUST-50009,Dr Connor Thomas,personal_loan,early,7,1503.9,12681.76,N,email_sent,sinclairanne@example.com,,KY4P 3UH,sms,Y,2026-01-07
ACC-10010,CUST-50010,Mr Alex Taylor,credit_card,early,15,1228.13,9184.91,N,no_response_cycle,alanperkins@example.org,02164226547,CO9N 5YB,,Y,2026-01-20
ACC-10011,CUST-50011,Dr Kathleen Ward,personal_loan,mid,56,386.4,12257.55,N,awaiting_follow_up,jonescarolyn@example.com,96527796128,B1 8YZ,,Y,2025-10-21
ACC-10012,CUST-50012,Donald Donnelly,credit_card,early,11,682.65,13621.16,N,plan_requested,gerardrowe@example.net,51084777687,CB0P 1DP,sms,Y,2025-12-15
